track_album_release_year,feature,median,mean
2019,danceability,0.693,0.6784
2019,loudness,0.0998,0.1083
2019,liveness,0.125,0.1852
2019,valence,0.481,0.4861
2019,energy,0.713,0.6932
2019,acousticness,0.104,0.199
2019,instrumentalness,0.0,0.1084
2019,speechiness,0.0735,0.1169
2018,danceability,0.693,0.678
2018,loudness,0.1025,0.1126
2018,liveness,0.123,0.1776
2018,valence,0.465,0.4698
2018,energy,0.697,0.671
2018,acousticness,0.116,0.218
2018,instrumentalness,0.0,0.1447
2018,speechiness,0.0705,0.1164
2017,danceability,0.676,0.6594
2017,loudness,0.1018,0.1098
2017,liveness,0.123,0.186
2017,valence,0.434,0.4523
2017,energy,0.711,0.6825
2017,acousticness,0.105,0.195
2017,instrumentalness,0.0,0.0826
2017,speechiness,0.0718,0.126
2016,danceability,0.662,0.6524
2016,loudness,0.0987,0.1064
2016,liveness,0.129,0.196
2016,valence,0.433,0.4514
2016,energy,0.7235,0.6956
2016,acousticness,0.0741,0.1744
2016,instrumentalness,0.0,0.083
2016,speechiness,0.063,0.1151
2014,danceability,0.636,0.6284
2014,loudness,0.0902,0.0983
2014,liveness,0.128,0.1997
2014,valence,0.426,0.4495
2014,energy,0.792,0.7563
2014,acousticness,0.0311,0.1187
2014,instrumentalness,0.0002,0.1441
2014,speechiness,0.0576,0.098
2012,danceability,0.636,0.6345
2012,loudness,0.0966,0.1024
2012,liveness,0.129,0.206
2012,valence,0.5345,0.5317
2012,energy,0.768,0.7343
2012,acousticness,0.052,0.1524
2012,instrumentalness,0.0,0.0922
2012,speechiness,0.06,0.1092
2015,danceability,0.66,0.6514
2015,loudness,0.0975,0.1048
2015,liveness,0.128,0.1884
2015,valence,0.4375,0.4557
2015,energy,0.738,0.7154
2015,acousticness,0.0604,0.1541
2015,instrumentalness,0.0001,0.0954
2015,speechiness,0.0612,0.1048
2013,danceability,0.642,0.6355
2013,loudness,0.0909,0.0993
2013,liveness,0.133,0.2063
2013,valence,0.451,0.4685
2013,energy,0.783,0.7492
2013,acousticness,0.0289,0.121
2013,instrumentalness,0.0003,0.1563
2013,speechiness,0.0569,0.0954
2011,danceability,0.648,0.6286
2011,loudness,0.0969,0.1081
2011,liveness,0.131,0.2068
2011,valence,0.5585,0.5488
2011,energy,0.7565,0.7246
2011,acousticness,0.0555,0.1637
2011,instrumentalness,0.0,0.082
2011,speechiness,0.0595,0.1078
2010,danceability,0.656,0.632
2010,loudness,0.0976,0.1101
2010,liveness,0.128,0.1941
2010,valence,0.599,0.5962
2010,energy,0.763,0.7335
2010,acousticness,0.0627,0.158
2010,instrumentalness,0.0,0.1044
2010,speechiness,0.0528,0.0926
2008,danceability,0.657,0.6245
2008,loudness,0.104,0.1145
2008,liveness,0.146,0.1967
2008,valence,0.616,0.6165
2008,energy,0.741,0.7203
2008,acousticness,0.0594,0.1592
2008,instrumentalness,0.0,0.0566
2008,speechiness,0.0588,0.0962
2020,danceability,0.694,0.6728
2020,loudness,0.1065,0.1144
2020,liveness,0.124,0.1891
2020,valence,0.464,0.4778
2020,energy,0.692,0.6703
2020,acousticness,0.123,0.2137
2020,instrumentalness,0.0,0.0925
2020,speechiness,0.0706,0.1158
2007,danceability,0.67,0.6568
2007,loudness,0.1049,0.1111
2007,liveness,0.1435,0.1982
2007,valence,0.6325,0.6156
2007,energy,0.7435,0.7205
2007,acousticness,0.0791,0.1779
2007,instrumentalness,0.0,0.0542
2007,speechiness,0.0599,0.1084
1998,danceability,0.725,0.7009
1998,loudness,0.1278,0.1288
1998,liveness,0.136,0.1936
1998,valence,0.613,0.6105
1998,energy,0.697,0.6798
1998,acousticness,0.0615,0.1497
1998,instrumentalness,0.0,0.0313
1998,speechiness,0.0885,0.149
1996,danceability,0.741,0.7045
1996,loudness,0.1259,0.1306
1996,liveness,0.131,0.1987
1996,valence,0.619,0.622
1996,energy,0.641,0.648
1996,acousticness,0.0624,0.1381
1996,instrumentalness,0.0,0.0325
1996,speechiness,0.0814,0.1441
1999,danceability,0.704,0.6653
1999,loudness,0.116,0.1184
1999,liveness,0.138,0.2154
1999,valence,0.653,0.6196
1999,energy,0.721,0.7016
1999,acousticness,0.0817,0.1545
1999,instrumentalness,0.0,0.0357
1999,speechiness,0.11,0.1472
2009,danceability,0.6515,0.6407
2009,loudness,0.0999,0.1088
2009,liveness,0.1415,0.2152
2009,valence,0.617,0.5933
2009,energy,0.775,0.7428
2009,acousticness,0.0572,0.1616
2009,instrumentalness,0.0,0.0959
2009,speechiness,0.0539,0.0923
1993,danceability,0.689,0.6667
1993,loudness,0.1603,0.1561
1993,liveness,0.13,0.2096
1993,valence,0.595,0.5824
1993,energy,0.668,0.6597
1993,acousticness,0.0815,0.1501
1993,instrumentalness,0.0,0.0473
1993,speechiness,0.064,0.1298
1995,danceability,0.703,0.6603
1995,loudness,0.1363,0.1395
1995,liveness,0.134,0.1987
1995,valence,0.618,0.5802
1995,energy,0.654,0.6492
1995,acousticness,0.0856,0.1841
1995,instrumentalness,0.0,0.0428
1995,speechiness,0.0638,0.1321
1991,danceability,0.671,0.6436
1991,loudness,0.1624,0.1669
1991,liveness,0.1295,0.1769
1991,valence,0.626,0.5903
1991,energy,0.68,0.6724
1991,acousticness,0.0514,0.117
1991,instrumentalness,0.0,0.048
1991,speechiness,0.0521,0.0835
2000,danceability,0.7135,0.6797
2000,loudness,0.112,0.1207
2000,liveness,0.1385,0.2095
2000,valence,0.6385,0.6245
2000,energy,0.7055,0.6903
2000,acousticness,0.0555,0.1482
2000,instrumentalness,0.0,0.0473
2000,speechiness,0.0725,0.135
1994,danceability,0.69,0.6545
1994,loudness,0.1391,0.1452
1994,liveness,0.139,0.1966
1994,valence,0.593,0.5653
1994,energy,0.66,0.6553
1994,acousticness,0.0517,0.1283
1994,instrumentalness,0.0,0.0196
1994,speechiness,0.0577,0.1274
1992,danceability,0.705,0.684
1992,loudness,0.1629,0.1631
1992,liveness,0.1225,0.1784
1992,valence,0.64,0.6341
1992,energy,0.704,0.6686
1992,acousticness,0.052,0.123
1992,instrumentalness,0.0001,0.0194
1992,speechiness,0.056,0.1077
1997,danceability,0.6565,0.6347
1997,loudness,0.1256,0.1352
1997,liveness,0.1805,0.2901
1997,valence,0.548,0.5451
1997,energy,0.668,0.6517
1997,acousticness,0.0591,0.1544
1997,instrumentalness,0.0,0.0553
1997,speechiness,0.0498,0.1086
2001,danceability,0.6775,0.6582
2001,loudness,0.1042,0.1084
2001,liveness,0.138,0.1981
2001,valence,0.6225,0.5977
2001,energy,0.728,0.7076
2001,acousticness,0.0452,0.1409
