playlist_genre,feature,median,mean
edm,tempo,0.5306,0.5252
edm,danceability,0.659,0.655
edm,liveness,0.139,0.2119
edm,valence,0.37,0.4006
edm,energy,0.83,0.8024
edm,acousticness,0.0193,0.0815
edm,instrumentalness,0.004,0.2186
edm,speechiness,0.0599,0.0867
edm,loudness,0.5658,0.5543
pop,tempo,0.5012,0.5043
pop,danceability,0.652,0.6393
pop,liveness,0.123,0.1768
pop,valence,0.5,0.5035
pop,energy,0.727,0.701
pop,acousticness,0.0767,0.1708
pop,instrumentalness,0.0,0.0599
pop,speechiness,0.049,0.074
pop,loudness,0.5112,0.5034
latin,tempo,0.4634,0.4955
latin,danceability,0.729,0.7133
latin,liveness,0.121,0.1807
latin,valence,0.628,0.6055
latin,energy,0.729,0.7082
latin,acousticness,0.139,0.211
latin,instrumentalness,0.0,0.0445
latin,speechiness,0.0674,0.1027
latin,loudness,0.5162,0.5085
r&b,tempo,0.4542,0.477
r&b,danceability,0.689,0.6702
r&b,liveness,0.12,0.1753
r&b,valence,0.542,0.5312
r&b,energy,0.596,0.5909
r&b,acousticness,0.165,0.2599
r&b,instrumentalness,0.0,0.0289
r&b,speechiness,0.0679,0.1168
r&b,loudness,0.4251,0.4245
rock,tempo,0.518,0.522
rock,danceability,0.523,0.5206
rock,liveness,0.136,0.2032
rock,valence,0.531,0.5374
rock,energy,0.775,0.7328
rock,acousticness,0.0373,0.1452
rock,instrumentalness,0.0002,0.0624
rock,speechiness,0.0419,0.0577
rock,loudness,0.446,0.4464
rap,tempo,0.5011,0.5039
rap,danceability,0.737,0.7183
rap,liveness,0.128,0.1916
rap,valence,0.5175,0.5052
rap,energy,0.665,0.6505
rap,acousticness,0.109,0.1926
rap,instrumentalness,0.0,0.0761
rap,speechiness,0.178,0.1975
rap,loudness,0.4726,0.4688
