track_artist,track_name,track_popularity,feature,feature_value,year
The Chainsmokers,Call You Mine - Keanu Silva Remix,60,tempo,0.5093,2019
The Chainsmokers,Call You Mine - Keanu Silva Remix,60,danceability,0.718,2019
The Chainsmokers,Call You Mine - Keanu Silva Remix,60,loudness,0.649,2019
The Chainsmokers,Call You Mine - Keanu Silva Remix,60,liveness,0.204,2019
The Chainsmokers,Call You Mine - Keanu Silva Remix,60,valence,0.277,2019
The Chainsmokers,Call You Mine - Keanu Silva Remix,60,energy,0.93,2019
The Chainsmokers,Call You Mine - Keanu Silva Remix,60,acousticness,0.0287,2019
The Chainsmokers,Call You Mine - Keanu Silva Remix,60,instrumentalness,0.0,2019
The Chainsmokers,Call You Mine - Keanu Silva Remix,60,speechiness,0.102,2019
The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,tempo,0.4595,2019
The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,danceability,0.62,2019
The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,loudness,0.6485,2019
The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,liveness,0.395,2019
The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,valence,0.422,2019
The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,energy,0.889,2019
The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,acousticness,0.0163,2019
The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,instrumentalness,0.0,2019
The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,speechiness,0.0352,2019
The Chainsmokers,Side Effects - Fedde Le Grand Remix,63,tempo,0.5263,2018
The Chainsmokers,Side Effects - Fedde Le Grand Remix,63,danceability,0.633,2018
The Chainsmokers,Side Effects - Fedde Le Grand Remix,63,loudness,0.6292,2018
The Chainsmokers,Side Effects - Fedde Le Grand Remix,63,liveness,0.434,2018
The Chainsmokers,Side Effects - Fedde Le Grand Remix,63,valence,0.659,2018
The Chainsmokers,Side Effects - Fedde Le Grand Remix,63,energy,0.854,2018
The Chainsmokers,Side Effects - Fedde Le Grand Remix,63,acousticness,0.0382,2018
The Chainsmokers,Side Effects - Fedde Le Grand Remix,63,instrumentalness,0.0,2018
The Chainsmokers,Side Effects - Fedde Le Grand Remix,63,speechiness,0.0432,2018
The Chainsmokers,Call You Mine - Asketa & Natan Chaim Remix,58,tempo,0.4806,2019
The Chainsmokers,Call You Mine - Asketa & Natan Chaim Remix,58,danceability,0.577,2019
The Chainsmokers,Call You Mine - Asketa & Natan Chaim Remix,58,loudness,0.681,2019
The Chainsmokers,Call You Mine - Asketa & Natan Chaim Remix,58,liveness,0.499,2019
The Chainsmokers,Call You Mine - Asketa & Natan Chaim Remix,58,valence,0.283,2019
The Chainsmokers,Call You Mine - Asketa & Natan Chaim Remix,58,energy,0.844,2019
The Chainsmokers,Call You Mine - Asketa & Natan Chaim Remix,58,acousticness,0.0041,2019
The Chainsmokers,Call You Mine - Asketa & Natan Chaim Remix,58,instrumentalness,0.0,2019
The Chainsmokers,Call You Mine - Asketa & Natan Chaim Remix,58,speechiness,0.0406,2019
The Chainsmokers,Kills You Slowly,12,tempo,0.6263,2019
The Chainsmokers,Kills You Slowly,12,danceability,0.696,2019
The Chainsmokers,Kills You Slowly,12,loudness,0.3647,2019
The Chainsmokers,Kills You Slowly,12,liveness,0.128,2019
The Chainsmokers,Kills You Slowly,12,valence,0.242,2019
The Chainsmokers,Kills You Slowly,12,energy,0.429,2019
The Chainsmokers,Kills You Slowly,12,acousticness,0.0518,2019
The Chainsmokers,Kills You Slowly,12,instrumentalness,0.0,2019
The Chainsmokers,Kills You Slowly,12,speechiness,0.0554,2019
The Chainsmokers,Takeaway,85,tempo,0.4181,2019
The Chainsmokers,Takeaway,85,danceability,0.528,2019
The Chainsmokers,Takeaway,85,loudness,0.3907,2019
The Chainsmokers,Takeaway,85,liveness,0.101,2019
The Chainsmokers,Takeaway,85,valence,0.351,2019
The Chainsmokers,Takeaway,85,energy,0.511,2019
The Chainsmokers,Takeaway,85,acousticness,0.126,2019
The Chainsmokers,Takeaway,85,instrumentalness,0.0,2019
The Chainsmokers,Takeaway,85,speechiness,0.0324,2019
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),22,tempo,0.4392,2018
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),22,danceability,0.539,2018
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),22,loudness,0.5437,2018
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),22,liveness,0.0662,2018
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),22,valence,0.474,2018
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),22,energy,0.651,2018
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),22,acousticness,0.0651,2018
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),22,instrumentalness,0.0,2018
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),22,speechiness,0.0432,2018
The Chainsmokers,Kanye,60,tempo,0.5348,2014
The Chainsmokers,Kanye,60,danceability,0.599,2014
The Chainsmokers,Kanye,60,loudness,0.469,2014
The Chainsmokers,Kanye,60,liveness,0.117,2014
The Chainsmokers,Kanye,60,valence,0.121,2014
