genre,feature,value
pop,danceability,0.652
pop,liveness,0.123
pop,valence,0.5
pop,acousticness,0.0767
pop,energy,0.727
rap,danceability,0.737
rap,liveness,0.128
rap,valence,0.517
rap,acousticness,0.109
rap,energy,0.665
rock,danceability,0.523
rock,liveness,0.136
rock,valence,0.531
rock,acousticness,0.0373
rock,energy,0.775
latin,danceability,0.729
latin,liveness,0.121
latin,valence,0.628
latin,acousticness,0.139
latin,energy,0.729
r&b,danceability,0.689
r&b,liveness,0.12
r&b,valence,0.542
r&b,acousticness,0.165
r&b,energy,0.596
edm,danceability,0.659
edm,liveness,0.139
edm,valence,0.37
edm,acousticness,0.0193
edm,energy,0.83
