genre,feature,value
pop,danceability,0.6393017069184674
pop,liveness,0.1768331941165789
pop,valence,0.5035210277828218
pop,acousticness,0.17079366716542582
pop,energy,0.7010278445614673
rap,danceability,0.7183527671423598
rap,liveness,0.19165443090845807
rap,valence,0.5050900104420466
rap,acousticness,0.19247867936999652
rap,energy,0.6507084058475461
rock,danceability,0.5205479701070491
rock,liveness,0.20313518481114926
rock,valence,0.5373520500908908
rock,acousticness,0.145188901539083
rock,energy,0.7328132700464552
latin,danceability,0.7132872550921435
latin,liveness,0.180625676042677
latin,valence,0.6055104267701261
latin,acousticness,0.21092044900096996
latin,energy,0.7083124684772065
r&b,danceability,0.6701793408212116
r&b,liveness,0.1752676486834837
r&b,valence,0.531230602099061
r&b,acousticness,0.25990374844411707
r&b,energy,0.5909343399005709
edm,danceability,0.6550408737382095
edm,liveness,0.21185867946384246
edm,valence,0.4006555187820619
edm,acousticness,0.08150359532351481
edm,energy,0.8024759225550222
